id,Party_ID,Party,Acronym,Votes,Municipality
2,20,KOSOVAKI NEVI ROMANI PARTIA,,15,Gjakovë
2,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,423,Gjakovë
2,22,ESMIR KASI,,7,Gjakovë
2,23,GRAÐANSKA İNİCİJATİVA GORE,,18,Gjakovë
2,24,LIDHJA DEMOKRATIKE E KOSOVËS,,7661,Gjakovë
2,25,SRPSKA LISTA,,10,Gjakovë
2,13,JEDINSTVENA GORANSKA PARTIJA,,7,Gjakovë
2,14,KOALICIJA VAKAT,,37,Gjakovë
2,15,FJALA,,83,Gjakovë
2,1,PARTIA LIBERALE EGJIPTIANE,,945,Gjakovë
2,2,PARTIA DEMOKRATIKE E KOSOVËS,,3976,Gjakovë
2,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,96,Gjakovë
2,4,STRANKA DEMOKRATSKE AKCIJE,,13,Gjakovë
2,5,PARTIJA KOSOVSKIH SRBA,,5,Gjakovë
2,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,47,Gjakovë
2,7,POKRET ZA GORA,,7,Gjakovë
3,11,SAMOSTALNA LIBERALNA STRANKA,,12,Drenas
3,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,1880,Drenas
3,13,JEDINSTVENA GORANSKA PARTIJA,,8,Drenas
3,1,PARTIA LIBERALE EGJIPTIANE,,131,Drenas
3,2,PARTIA DEMOKRATIKE E KOSOVËS,,15193,Drenas
3,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,16,Drenas
3,4,STRANKA DEMOKRATSKE AKCIJE,,7,Drenas
3,5,PARTIJA KOSOVSKIH SRBA,,2,Drenas
3,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,9,Drenas
3,7,POKRET ZA GORA,,4,Drenas
3,8,NOVA DEMOKRATSKA STRANKA,,3,Drenas
3,9,AAK-PSD KOALICIONI 100% KOSOVË,,1695,Drenas
3,10,SLOBODA,,6,Drenas
3,24,LIDHJA DEMOKRATIKE E KOSOVËS,,1380,Drenas
3,25,SRPSKA LISTA,,2,Drenas
3,16,LËVIZJA VETËVENDOSJE!,,2628,Drenas
3,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,4,Drenas
3,14,KOALICIJA VAKAT,,6,Drenas
3,15,FJALA,,107,Drenas
3,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Drenas
3,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,2,Drenas
3,18,PARTIA ROME E BASHKUAR E KOSOVËS,,2,Drenas
3,19,PARTIA EUROATLANTIKE E KOSOVËS,,101,Drenas
3,22,ESMIR KASI,,1,Drenas
3,23,GRAÐANSKA İNİCİJATİVA GORE,,2,Drenas
4,1,PARTIA LIBERALE EGJIPTIANE,,97,Gjilan
4,2,PARTIA DEMOKRATIKE E KOSOVËS,,7846,Gjilan
4,13,JEDINSTVENA GORANSKA PARTIJA,,13,Gjilan
4,14,KOALICIJA VAKAT,,53,Gjilan
4,15,FJALA,,109,Gjilan
4,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,18,Gjilan
4,4,STRANKA DEMOKRATSKE AKCIJE,,16,Gjilan
4,5,PARTIJA KOSOVSKIH SRBA,,7,Gjilan
4,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,26,Gjilan
4,7,POKRET ZA GORA,,9,Gjilan
4,8,NOVA DEMOKRATSKA STRANKA,,6,Gjilan
4,9,AAK-PSD KOALICIONI 100% KOSOVË,,3373,Gjilan
4,10,SLOBODA,,15,Gjilan
4,11,SAMOSTALNA LIBERALNA STRANKA,,52,Gjilan
4,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,1692,Gjilan
4,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,526,Gjilan
4,18,PARTIA ROME E BASHKUAR E KOSOVËS,,29,Gjilan
4,19,PARTIA EUROATLANTIKE E KOSOVËS,,89,Gjilan
4,16,LËVIZJA VETËVENDOSJE!,,18757,Gjilan
4,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,13,Gjilan
4,22,ESMIR KASI,,2,Gjilan
4,23,GRAÐANSKA İNİCİJATİVA GORE,,30,Gjilan
4,20,KOSOVAKI NEVI ROMANI PARTIA,,2,Gjilan
4,25,SRPSKA LISTA,,1219,Gjilan
4,24,LIDHJA DEMOKRATIKE E KOSOVËS,,12594,Gjilan
5,2,PARTIA DEMOKRATIKE E KOSOVËS,,3480,Dragash
5,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,18,Dragash
5,1,PARTIA LIBERALE EGJIPTIANE,,28,Dragash
5,13,JEDINSTVENA GORANSKA PARTIJA,,766,Dragash
5,14,KOALICIJA VAKAT,,1317,Dragash
5,15,FJALA,,64,Dragash
5,16,LËVIZJA VETËVENDOSJE!,,1440,Dragash
5,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,7,Dragash
5,18,PARTIA ROME E BASHKUAR E KOSOVËS,,5,Dragash
5,19,PARTIA EUROATLANTIKE E KOSOVËS,,1,Dragash
5,20,KOSOVAKI NEVI ROMANI PARTIA,,1,Dragash
5,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,4,Dragash
5,22,ESMIR KASI,,4,Dragash
5,23,GRAÐANSKA İNİCİJATİVA GORE,,267,Dragash
5,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3800,Dragash
5,25,SRPSKA LISTA,,323,Dragash
5,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,483,Dragash
5,4,STRANKA DEMOKRATSKE AKCIJE,,13,Dragash
5,5,PARTIJA KOSOVSKIH SRBA,,6,Dragash
5,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,2,Dragash
5,7,POKRET ZA GORA,,524,Dragash
5,8,NOVA DEMOKRATSKA STRANKA,,83,Dragash
5,9,AAK-PSD KOALICIONI 100% KOSOVË,,408,Dragash
5,10,SLOBODA,,7,Dragash
5,11,SAMOSTALNA LIBERALNA STRANKA,,5,Dragash
6,2,PARTIA DEMOKRATIKE E KOSOVËS,,2631,Istog
6,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,27,Istog
6,4,STRANKA DEMOKRATSKE AKCIJE,,218,Istog
6,5,PARTIJA KOSOVSKIH SRBA,,3,Istog
6,1,PARTIA LIBERALE EGJIPTIANE,,186,Istog
6,15,FJALA,,57,Istog
6,16,LËVIZJA VETËVENDOSJE!,,2751,Istog
6,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,2,Istog
6,18,PARTIA ROME E BASHKUAR E KOSOVËS,,11,Istog
6,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,17,Istog
6,7,POKRET ZA GORA,,2,Istog
6,8,NOVA DEMOKRATSKA STRANKA,,164,Istog
6,9,AAK-PSD KOALICIONI 100% KOSOVË,,3644,Istog
6,10,SLOBODA,,8,Istog
6,11,SAMOSTALNA LIBERALNA STRANKA,,4,Istog
6,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,377,Istog
6,13,JEDINSTVENA GORANSKA PARTIJA,,2,Istog
6,14,KOALICIJA VAKAT,,89,Istog
6,22,ESMIR KASI,,2,Istog
6,19,PARTIA EUROATLANTIKE E KOSOVËS,,38,Istog
6,20,KOSOVAKI NEVI ROMANI PARTIA,,3,Istog
6,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,400,Istog
6,23,GRAÐANSKA İNİCİJATİVA GORE,,20,Istog
6,24,LIDHJA DEMOKRATIKE E KOSOVËS,,8744,Istog
6,25,SRPSKA LISTA,,389,Istog
7,4,STRANKA DEMOKRATSKE AKCIJE,,7,Kaçanik
7,8,NOVA DEMOKRATSKA STRANKA,,0,Kaçanik
7,5,PARTIJA KOSOVSKIH SRBA,,1,Kaçanik
7,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,7,Kaçanik
7,7,POKRET ZA GORA,,0,Kaçanik
7,16,LËVIZJA VETËVENDOSJE!,,5454,Kaçanik
7,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,3,Kaçanik
7,18,PARTIA ROME E BASHKUAR E KOSOVËS,,1,Kaçanik
7,19,PARTIA EUROATLANTIKE E KOSOVËS,,19,Kaçanik
7,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Kaçanik
7,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,2,Kaçanik
7,9,AAK-PSD KOALICIONI 100% KOSOVË,,935,Kaçanik
7,10,SLOBODA,,3,Kaçanik
7,11,SAMOSTALNA LIBERALNA STRANKA,,4,Kaçanik
7,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,939,Kaçanik
7,13,JEDINSTVENA GORANSKA PARTIJA,,2,Kaçanik
7,14,KOALICIJA VAKAT,,11,Kaçanik
7,15,FJALA,,35,Kaçanik
7,1,PARTIA LIBERALE EGJIPTIANE,,62,Kaçanik
7,2,PARTIA DEMOKRATIKE E KOSOVËS,,5095,Kaçanik
7,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,8,Kaçanik
7,23,GRAÐANSKA İNİCİJATİVA GORE,,6,Kaçanik
7,24,LIDHJA DEMOKRATIKE E KOSOVËS,,2548,Kaçanik
7,25,SRPSKA LISTA,,3,Kaçanik
7,22,ESMIR KASI,,0,Kaçanik
8,7,POKRET ZA GORA,,0,Klinë
8,8,NOVA DEMOKRATSKA STRANKA,,5,Klinë
8,9,AAK-PSD KOALICIONI 100% KOSOVË,,4674,Klinë
8,1,PARTIA LIBERALE EGJIPTIANE,,308,Klinë
8,2,PARTIA DEMOKRATIKE E KOSOVËS,,4546,Klinë
8,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,14,Klinë
8,4,STRANKA DEMOKRATSKE AKCIJE,,3,Klinë
8,5,PARTIJA KOSOVSKIH SRBA,,2,Klinë
8,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,14,Klinë
8,20,KOSOVAKI NEVI ROMANI PARTIA,,3,Klinë
8,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,55,Klinë
8,22,ESMIR KASI,,2,Klinë
8,23,GRAÐANSKA İNİCİJATİVA GORE,,11,Klinë
8,24,LIDHJA DEMOKRATIKE E KOSOVËS,,4619,Klinë
8,25,SRPSKA LISTA,,185,Klinë
8,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,853,Klinë
8,13,JEDINSTVENA GORANSKA PARTIJA,,0,Klinë
8,14,KOALICIJA VAKAT,,10,Klinë
8,15,FJALA,,53,Klinë
8,16,LËVIZJA VETËVENDOSJE!,,1690,Klinë
8,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,1,Klinë
8,18,PARTIA ROME E BASHKUAR E KOSOVËS,,3,Klinë
8,19,PARTIA EUROATLANTIKE E KOSOVËS,,43,Klinë
8,11,SAMOSTALNA LIBERALNA STRANKA,,10,Klinë
8,10,SLOBODA,,2,Klinë
9,10,SLOBODA,,8,Fushë Kosovë
9,11,SAMOSTALNA LIBERALNA STRANKA,,8,Fushë Kosovë
9,9,AAK-PSD KOALICIONI 100% KOSOVË,,1100,Fushë Kosovë
9,1,PARTIA LIBERALE EGJIPTIANE,,769,Fushë Kosovë
9,2,PARTIA DEMOKRATIKE E KOSOVËS,,3469,Fushë Kosovë
9,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,428,Fushë Kosovë
9,4,STRANKA DEMOKRATSKE AKCIJE,,5,Fushë Kosovë
9,5,PARTIJA KOSOVSKIH SRBA,,3,Fushë Kosovë
9,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,210,Fushë Kosovë
9,7,POKRET ZA GORA,,2,Fushë Kosovë
9,8,NOVA DEMOKRATSKA STRANKA,,4,Fushë Kosovë
9,22,ESMIR KASI,,1,Fushë Kosovë
9,23,GRAÐANSKA İNİCİJATİVA GORE,,15,Fushë Kosovë
9,24,LIDHJA DEMOKRATIKE E KOSOVËS,,5518,Fushë Kosovë
9,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,707,Fushë Kosovë
9,13,JEDINSTVENA GORANSKA PARTIJA,,1,Fushë Kosovë
9,14,KOALICIJA VAKAT,,7,Fushë Kosovë
9,15,FJALA,,61,Fushë Kosovë
9,16,LËVIZJA VETËVENDOSJE!,,5445,Fushë Kosovë
9,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,11,Fushë Kosovë
9,18,PARTIA ROME E BASHKUAR E KOSOVËS,,38,Fushë Kosovë
9,19,PARTIA EUROATLANTIKE E KOSOVËS,,41,Fushë Kosovë
9,20,KOSOVAKI NEVI ROMANI PARTIA,,1,Fushë Kosovë
9,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,97,Fushë Kosovë
9,25,SRPSKA LISTA,,414,Fushë Kosovë
10,9,AAK-PSD KOALICIONI 100% KOSOVË,,2430,Kamenicë
10,11,SAMOSTALNA LIBERALNA STRANKA,,17,Kamenicë
10,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,1433,Kamenicë
10,13,JEDINSTVENA GORANSKA PARTIJA,,4,Kamenicë
10,10,SLOBODA,,12,Kamenicë
10,15,FJALA,,33,Kamenicë
10,16,LËVIZJA VETËVENDOSJE!,,5203,Kamenicë
10,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,18,Kamenicë
10,18,PARTIA ROME E BASHKUAR E KOSOVËS,,24,Kamenicë
10,19,PARTIA EUROATLANTIKE E KOSOVËS,,11,Kamenicë
10,20,KOSOVAKI NEVI ROMANI PARTIA,,3,Kamenicë
10,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,1,Kamenicë
10,22,ESMIR KASI,,2,Kamenicë
10,23,GRAÐANSKA İNİCİJATİVA GORE,,11,Kamenicë
10,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3396,Kamenicë
10,25,SRPSKA LISTA,,1396,Kamenicë
10,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,3,Kamenicë
10,14,KOALICIJA VAKAT,,10,Kamenicë
10,1,PARTIA LIBERALE EGJIPTIANE,,26,Kamenicë
10,2,PARTIA DEMOKRATIKE E KOSOVËS,,2294,Kamenicë
10,7,POKRET ZA GORA,,2,Kamenicë
10,4,STRANKA DEMOKRATSKE AKCIJE,,2,Kamenicë
10,5,PARTIJA KOSOVSKIH SRBA,,5,Kamenicë
10,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,8,Kamenicë
10,8,NOVA DEMOKRATSKA STRANKA,,1,Kamenicë
11,1,PARTIA LIBERALE EGJIPTIANE,,96,Mitrovicë
11,11,SAMOSTALNA LIBERALNA STRANKA,,4,Mitrovicë
11,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,960,Mitrovicë
11,13,JEDINSTVENA GORANSKA PARTIJA,,3,Mitrovicë
11,14,KOALICIJA VAKAT,,40,Mitrovicë
11,2,PARTIA DEMOKRATIKE E KOSOVËS,,11311,Mitrovicë
11,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,45,Mitrovicë
11,4,STRANKA DEMOKRATSKE AKCIJE,,21,Mitrovicë
11,5,PARTIJA KOSOVSKIH SRBA,,5,Mitrovicë
11,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,103,Mitrovicë
11,7,POKRET ZA GORA,,14,Mitrovicë
11,8,NOVA DEMOKRATSKA STRANKA,,37,Mitrovicë
11,9,AAK-PSD KOALICIONI 100% KOSOVË,,1020,Mitrovicë
11,10,SLOBODA,,4,Mitrovicë
11,25,SRPSKA LISTA,,21,Mitrovicë
11,24,LIDHJA DEMOKRATIKE E KOSOVËS,,7470,Mitrovicë
11,16,LËVIZJA VETËVENDOSJE!,,11341,Mitrovicë
11,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,244,Mitrovicë
11,18,PARTIA ROME E BASHKUAR E KOSOVËS,,57,Mitrovicë
11,15,FJALA,,208,Mitrovicë
11,20,KOSOVAKI NEVI ROMANI PARTIA,,2,Mitrovicë
11,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,8,Mitrovicë
11,22,ESMIR KASI,,1,Mitrovicë
11,19,PARTIA EUROATLANTIKE E KOSOVËS,,63,Mitrovicë
11,23,GRAÐANSKA İNİCİJATİVA GORE,,12,Mitrovicë
12,2,PARTIA DEMOKRATIKE E KOSOVËS,,123,Leposaviq
12,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,3,Leposaviq
12,4,STRANKA DEMOKRATSKE AKCIJE,,9,Leposaviq
12,1,PARTIA LIBERALE EGJIPTIANE,,8,Leposaviq
12,15,FJALA,,3,Leposaviq
12,16,LËVIZJA VETËVENDOSJE!,,166,Leposaviq
12,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,5,Leposaviq
12,5,PARTIJA KOSOVSKIH SRBA,,518,Leposaviq
12,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,6,Leposaviq
12,7,POKRET ZA GORA,,6,Leposaviq
12,8,NOVA DEMOKRATSKA STRANKA,,6,Leposaviq
12,9,AAK-PSD KOALICIONI 100% KOSOVË,,21,Leposaviq
12,10,SLOBODA,,30,Leposaviq
12,11,SAMOSTALNA LIBERALNA STRANKA,,24,Leposaviq
12,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,64,Leposaviq
12,13,JEDINSTVENA GORANSKA PARTIJA,,2,Leposaviq
12,14,KOALICIJA VAKAT,,18,Leposaviq
12,19,PARTIA EUROATLANTIKE E KOSOVËS,,0,Leposaviq
12,20,KOSOVAKI NEVI ROMANI PARTIA,,1,Leposaviq
12,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,5,Leposaviq
12,18,PARTIA ROME E BASHKUAR E KOSOVËS,,0,Leposaviq
12,23,GRAÐANSKA İNİCİJATİVA GORE,,3,Leposaviq
12,24,LIDHJA DEMOKRATIKE E KOSOVËS,,64,Leposaviq
12,25,SRPSKA LISTA,,6995,Leposaviq
12,22,ESMIR KASI,,1,Leposaviq
13,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,520,Lipjan
13,4,STRANKA DEMOKRATSKE AKCIJE,,8,Lipjan
13,5,PARTIJA KOSOVSKIH SRBA,,3,Lipjan
13,1,PARTIA LIBERALE EGJIPTIANE,,150,Lipjan
13,2,PARTIA DEMOKRATIKE E KOSOVËS,,7382,Lipjan
13,16,LËVIZJA VETËVENDOSJE!,,5719,Lipjan
13,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,77,Lipjan
13,18,PARTIA ROME E BASHKUAR E KOSOVËS,,12,Lipjan
13,19,PARTIA EUROATLANTIKE E KOSOVËS,,21,Lipjan
13,20,KOSOVAKI NEVI ROMANI PARTIA,,2,Lipjan
13,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,12,Lipjan
13,22,ESMIR KASI,,4,Lipjan
13,23,GRAÐANSKA İNİCİJATİVA GORE,,24,Lipjan
13,24,LIDHJA DEMOKRATIKE E KOSOVËS,,10627,Lipjan
13,25,SRPSKA LISTA,,637,Lipjan
13,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,1623,Lipjan
13,13,JEDINSTVENA GORANSKA PARTIJA,,3,Lipjan
13,14,KOALICIJA VAKAT,,18,Lipjan
13,15,FJALA,,50,Lipjan
13,7,POKRET ZA GORA,,2,Lipjan
13,8,NOVA DEMOKRATSKA STRANKA,,2,Lipjan
13,9,AAK-PSD KOALICIONI 100% KOSOVË,,1457,Lipjan
13,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,164,Lipjan
13,11,SAMOSTALNA LIBERALNA STRANKA,,24,Lipjan
13,10,SLOBODA,,7,Lipjan
14,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Novobërdë
14,7,POKRET ZA GORA,,0,Novobërdë
14,5,PARTIJA KOSOVSKIH SRBA,,10,Novobërdë
14,1,PARTIA LIBERALE EGJIPTIANE,,8,Novobërdë
14,2,PARTIA DEMOKRATIKE E KOSOVËS,,280,Novobërdë
14,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,1,Novobërdë
14,4,STRANKA DEMOKRATSKE AKCIJE,,0,Novobërdë
14,18,PARTIA ROME E BASHKUAR E KOSOVËS,,0,Novobërdë
14,19,PARTIA EUROATLANTIKE E KOSOVËS,,13,Novobërdë
14,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Novobërdë
14,8,NOVA DEMOKRATSKA STRANKA,,0,Novobërdë
14,9,AAK-PSD KOALICIONI 100% KOSOVË,,227,Novobërdë
14,10,SLOBODA,,3,Novobërdë
14,11,SAMOSTALNA LIBERALNA STRANKA,,78,Novobërdë
14,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,125,Novobërdë
14,13,JEDINSTVENA GORANSKA PARTIJA,,3,Novobërdë
14,14,KOALICIJA VAKAT,,1,Novobërdë
14,15,FJALA,,6,Novobërdë
14,16,LËVIZJA VETËVENDOSJE!,,548,Novobërdë
14,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Novobërdë
14,24,LIDHJA DEMOKRATIKE E KOSOVËS,,570,Novobërdë
14,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Novobërdë
14,22,ESMIR KASI,,1,Novobërdë
14,23,GRAÐANSKA İNİCİJATİVA GORE,,6,Novobërdë
14,25,SRPSKA LISTA,,2992,Novobërdë
15,5,PARTIJA KOSOVSKIH SRBA,,7,Obiliq
15,7,POKRET ZA GORA,,2,Obiliq
15,8,NOVA DEMOKRATSKA STRANKA,,11,Obiliq
15,9,AAK-PSD KOALICIONI 100% KOSOVË,,2309,Obiliq
15,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,35,Obiliq
15,15,FJALA,,44,Obiliq
15,16,LËVIZJA VETËVENDOSJE!,,3168,Obiliq
15,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,2,Obiliq
15,18,PARTIA ROME E BASHKUAR E KOSOVËS,,16,Obiliq
15,19,PARTIA EUROATLANTIKE E KOSOVËS,,15,Obiliq
15,20,KOSOVAKI NEVI ROMANI PARTIA,,1,Obiliq
15,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Obiliq
15,22,ESMIR KASI,,2,Obiliq
15,10,SLOBODA,,3,Obiliq
15,11,SAMOSTALNA LIBERALNA STRANKA,,162,Obiliq
15,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,318,Obiliq
15,13,JEDINSTVENA GORANSKA PARTIJA,,3,Obiliq
15,14,KOALICIJA VAKAT,,4,Obiliq
15,1,PARTIA LIBERALE EGJIPTIANE,,52,Obiliq
15,2,PARTIA DEMOKRATIKE E KOSOVËS,,2268,Obiliq
15,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,67,Obiliq
15,4,STRANKA DEMOKRATSKE AKCIJE,,3,Obiliq
15,23,GRAÐANSKA İNİCİJATİVA GORE,,9,Obiliq
15,24,LIDHJA DEMOKRATIKE E KOSOVËS,,2570,Obiliq
15,25,SRPSKA LISTA,,1316,Obiliq
16,10,SLOBODA,,2,Rahovec
16,7,POKRET ZA GORA,,2,Rahovec
16,8,NOVA DEMOKRATSKA STRANKA,,21,Rahovec
16,9,AAK-PSD KOALICIONI 100% KOSOVË,,5376,Rahovec
16,1,PARTIA LIBERALE EGJIPTIANE,,76,Rahovec
16,2,PARTIA DEMOKRATIKE E KOSOVËS,,4588,Rahovec
16,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,21,Rahovec
16,4,STRANKA DEMOKRATSKE AKCIJE,,3,Rahovec
16,5,PARTIJA KOSOVSKIH SRBA,,1,Rahovec
16,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,17,Rahovec
16,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,45,Rahovec
16,22,ESMIR KASI,,4,Rahovec
16,23,GRAÐANSKA İNİCİJATİVA GORE,,9,Rahovec
16,24,LIDHJA DEMOKRATIKE E KOSOVËS,,5098,Rahovec
16,25,SRPSKA LISTA,,438,Rahovec
16,11,SAMOSTALNA LIBERALNA STRANKA,,7,Rahovec
16,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,858,Rahovec
16,13,JEDINSTVENA GORANSKA PARTIJA,,14,Rahovec
16,14,KOALICIJA VAKAT,,23,Rahovec
16,15,FJALA,,142,Rahovec
16,16,LËVIZJA VETËVENDOSJE!,,4939,Rahovec
16,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,4,Rahovec
16,18,PARTIA ROME E BASHKUAR E KOSOVËS,,12,Rahovec
16,19,PARTIA EUROATLANTIKE E KOSOVËS,,22,Rahovec
